subject-session,accMDM,perfMDM,pvalMDM,zMDM,accENLR,perfENLR,pvalENLR,zENLR,accSVM,perfSVM,pvalSVM,zSVM
subject_29_session_01,0.45,:b,0.91896,1.4,0.525,:b,0.24033,-0.71,0.505,:b,0.44391,-0.14
subject_30_session_01,0.57,:n,0.02234,-2.01,0.615,:g,0.00041,-3.35,0.64,:g,<0.0001,-4.09
subject_31_session_01,0.575,:n,0.01443,-2.19,0.665,:g,<0.0001,-5.0,0.565,:n,0.03264,-1.84
subject_32_session_01,0.525,:b,0.24147,-0.7,0.56,:n,0.04451,-1.7,0.65,:g,<0.0001,-4.39
subject_33_session_01,0.575,:n,0.0169,-2.12,0.555,:b,0.06213,-1.54,0.575,:n,0.01533,-2.16
subject_34_session_01,0.52,:b,0.28878,-0.56,0.535,:b,0.16123,-0.99,0.53,:b,0.19782,-0.85
subject_35_session_01,0.8,:g,<0.0001,-10.49,0.85,:g,<0.0001,-13.93,0.885,:g,<0.0001,-17.47
subject_36_session_01,0.58944,:g,0.0047,-2.6,0.68722,:g,<0.0001,-5.68,0.64056,:g,<0.0001,-4.26
subject_37_session_01,0.75,:g,<0.0001,-8.08,0.695,:g,<0.0001,-5.97,0.7,:g,<0.0001,-6.12
subject_38_session_01,0.565,:n,0.03507,-1.81,0.56,:n,0.04653,-1.68,0.59,:g,0.00453,-2.61
subject_39_session_01,0.605,:g,0.00123,-3.03,0.68,:g,<0.0001,-5.41,0.65,:g,<0.0001,-4.45
subject_40_session_01,0.455,:b,0.89953,1.28,0.495,:b,0.55674,0.14,0.525,:b,0.24215,-0.7
subject_41_session_01,0.765,:g,<0.0001,-8.91,0.825,:g,<0.0001,-12.07,0.77,:g,<0.0001,-9.03
subject_42_session_01,0.48,:b,0.71142,0.56,0.475,:b,0.75831,0.7,0.56,:n,0.04636,-1.68
subject_43_session_01,0.745,:g,<0.0001,-7.95,0.96,:g,<0.0001,-33.19,0.98,:g,<0.0001,-48.0
subject_44_session_01,0.745,:g,<0.0001,-7.99,0.79,:g,<0.0001,-10.09,0.77,:g,<0.0001,-8.96
subject_45_session_01,0.435,:b,0.9675,1.85,0.535,:b,0.15761,-1.0,0.46,:b,0.87231,1.14
subject_46_session_01,0.61667,:g,0.0001,-3.71,0.77083,:g,<0.0001,-9.96,0.75,:g,<0.0001,-8.83
subject_47_session_01,0.565,:n,0.03364,-1.83,0.675,:g,<0.0001,-5.22,0.655,:g,<0.0001,-4.56
subject_48_session_01,0.725,:g,<0.0001,-7.33,0.77,:g,<0.0001,-9.13,0.825,:g,<0.0001,-12.2
subject_49_session_01,0.725,:g,<0.0001,-7.01,0.82,:g,<0.0001,-11.6,0.745,:g,<0.0001,-7.9
subject_50_session_01,0.73,:g,<0.0001,-7.23,0.925,:g,<0.0001,-22.51,0.78,:g,<0.0001,-9.46
subject_51_session_01,0.53,:b,0.20053,-0.84,0.475,:b,0.75696,0.7,0.535,:b,0.16424,-0.98
subject_52_session_01,0.59,:g,0.00465,-2.6,0.765,:g,<0.0001,-8.92,0.61,:g,0.00084,-3.14
